,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
0,Suntory Hibiki Harmony,43,70,76.95
1,Yamazaki Distiller's Reserve,43,70,72.95
2,Yamazaki 12 Year Old,43,70,150
3,The Chita Whisky,43,70,51.95
4,Nikka Coffey Grain Whisky,45,70,57.95
5,Hakushu Distiller's Reserve,43,70,70.95
6,Yoichi Single Malt,45,70,77.75
7,Suntory Toki,43,70,33.95
8,Hakushu 12 Year Old,43,70,185
9,Akashi Single Malt Whisky,46,50,66.75
10,Kaiyo Mizunara Oak,43,70,82.95
11,Miyagikyo Single Malt,45,70,78.45
12,Shizuoka Single Malt Prologue K and Prologue W,55.5,40,199
13,Hakushu 10 Year Old,40.5,70,375
14,Kaiyo Mizunara Oak Cask Strength,53,70,110
15,Karuizawa 36 Year Old,61.2,70,"32,500"
16,Suntory Torys Classic,37,70,30.45
17,Akashi 5 Year Old,50,50,150
18,Kaiyo Peated Mizunara Oak,46,70,99.95
19,Yamazaki Bourbon Barrel,48.2,70,"2,000"
20,Chichibu 2009,61.4,70,"1,500"
21,Nikka Coffey Grain Whisky Show Package,43,70,264
22,Nikka Coffey Grain Whisky Show Package,43,70,165
23,Karuizawa 38 Year Old,62.1,70,"37,500"
24,Suntory Hibiki Harmony,43,70,76.95
25,Yamazaki Distiller's Reserve,43,70,72.95
26,Yamazaki 12 Year Old,43,70,150
27,The Chita Whisky,43,70,51.95
28,Nikka Coffey Grain Whisky,45,70,57.95
29,Hakushu Distiller's Reserve,43,70,70.95
30,Yoichi Single Malt,45,70,77.75
31,Suntory Toki,43,70,33.95
32,Hakushu 12 Year Old,43,70,185
33,Akashi Single Malt Whisky,46,50,66.75
34,Kaiyo Mizunara Oak,43,70,82.95
35,Miyagikyo Single Malt,45,70,78.45
36,Shizuoka Single Malt Prologue K and Prologue W,55.5,40,199
37,Hakushu 10 Year Old,40.5,70,375
38,Kaiyo Mizunara Oak Cask Strength,53,70,110
39,Karuizawa 36 Year Old,61.2,70,"32,500"
40,Suntory Torys Classic,37,70,30.45
41,Akashi 5 Year Old,50,50,150
42,Kaiyo Peated Mizunara Oak,46,70,99.95
43,Yamazaki Bourbon Barrel,48.2,70,"2,000"
44,Chichibu 2009,61.4,70,"1,500"
45,Nikka Coffey Grain Whisky Show Package,43,70,264
46,Nikka Coffey Grain Whisky Show Package,43,70,165
47,Karuizawa 38 Year Old,62.1,70,"37,500"
48,Chichibu IPA Cask Finish,57.5,70,800
49,Yamazaki Mizunara 18 Year Old,48,70,"10,000"
50,Chichibu The Peated 2011,62.5,70,700
51,Karuizawa 1984,59.7,75,"15,000"
52,Karuizawa 1983,59.1,70,"15,000"
53,Hanyu 1985 The Joker,54.9,70,"60,000"
54,Karuizawa 1984,61,70,"15,000"
55,Karuizawa 30 Year Old,55.8,70,"15,000"
56,Karuizawa 1984,56.8,70,"15,000"
57,Karuizawa 1981,58.1,70,"15,000"
58,Suntory Hibiki Harmony,43,70,76.95
59,Yamazaki Distiller's Reserve,43,70,72.95
60,Yamazaki 12 Year Old,43,70,150
61,The Chita Whisky,43,70,51.95
62,Nikka Coffey Grain Whisky,45,70,57.95
63,Hakushu Distiller's Reserve,43,70,70.95
64,Yoichi Single Malt,45,70,77.75
65,Suntory Toki,43,70,33.95
66,Hakushu 12 Year Old,43,70,185
67,Akashi Single Malt Whisky,46,50,66.75
68,Kaiyo Mizunara Oak,43,70,82.95
69,Miyagikyo Single Malt,45,70,78.45
70,Shizuoka Single Malt Prologue K and Prologue W,55.5,40,199
71,Hakushu 10 Year Old,40.5,70,375
72,Kaiyo Mizunara Oak Cask Strength,53,70,110
73,Karuizawa 36 Year Old,61.2,70,"32,500"
74,Suntory Torys Classic,37,70,30.45
75,Akashi 5 Year Old,50,50,150
76,Kaiyo Peated Mizunara Oak,46,70,99.95
77,Yamazaki Bourbon Barrel,48.2,70,"2,000"
78,Chichibu 2009,61.4,70,"1,500"
79,Nikka Coffey Grain Whisky Show Package,43,70,264
80,Nikka Coffey Grain Whisky Show Package,43,70,165
81,Karuizawa 38 Year Old,62.1,70,"37,500"
82,Suntory Hibiki Harmony,43,70,76.95
83,Yamazaki Distiller's Reserve,43,70,72.95
84,Yamazaki 12 Year Old,43,70,150
85,The Chita Whisky,43,70,51.95
86,Nikka Coffey Grain Whisky,45,70,57.95
87,Hakushu Distiller's Reserve,43,70,70.95
88,Yoichi Single Malt,45,70,77.75
89,Suntory Toki,43,70,33.95
90,Hakushu 12 Year Old,43,70,185
91,Akashi Single Malt Whisky,46,50,66.75
92,Kaiyo Mizunara Oak,43,70,82.95
93,Miyagikyo Single Malt,45,70,78.45
94,Shizuoka Single Malt Prologue K and Prologue W,55.5,40,199
95,Hakushu 10 Year Old,40.5,70,375
96,Kaiyo Mizunara Oak Cask Strength,53,70,110
97,Karuizawa 36 Year Old,61.2,70,"32,500"
98,Suntory Torys Classic,37,70,30.45
99,Akashi 5 Year Old,50,50,150
100,Kaiyo Peated Mizunara Oak,46,70,99.95
101,Yamazaki Bourbon Barrel,48.2,70,"2,000"
102,Chichibu 2009,61.4,70,"1,500"
103,Nikka Coffey Grain Whisky Show Package,43,70,264
104,Nikka Coffey Grain Whisky Show Package,43,70,165
105,Karuizawa 38 Year Old,62.1,70,"37,500"
106,Suntory Hibiki Harmony,43,70,76.95
107,Yamazaki Distiller's Reserve,43,70,72.95
108,Yamazaki 12 Year Old,43,70,150
109,The Chita Whisky,43,70,51.95
110,Nikka Coffey Grain Whisky,45,70,57.95
111,Hakushu Distiller's Reserve,43,70,70.95
112,Yoichi Single Malt,45,70,77.75
113,Suntory Toki,43,70,33.95
114,Hakushu 12 Year Old,43,70,185
115,Akashi Single Malt Whisky,46,50,66.75
116,Kaiyo Mizunara Oak,43,70,82.95
117,Miyagikyo Single Malt,45,70,78.45
118,Shizuoka Single Malt Prologue K and Prologue W,55.5,40,199
119,Hakushu 10 Year Old,40.5,70,375
120,Kaiyo Mizunara Oak Cask Strength,53,70,110
121,Karuizawa 36 Year Old,61.2,70,"32,500"
122,Suntory Torys Classic,37,70,30.45
123,Akashi 5 Year Old,50,50,150
124,Kaiyo Peated Mizunara Oak,46,70,99.95
125,Yamazaki Bourbon Barrel,48.2,70,"2,000"
126,Chichibu 2009,61.4,70,"1,500"
127,Nikka Coffey Grain Whisky Show Package,43,70,264
128,Nikka Coffey Grain Whisky Show Package,43,70,165
129,Karuizawa 38 Year Old,62.1,70,"37,500"
